expediente,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad,IUM
19906389,VITACEREBRINA TABLETAS,LABORATORIOS FINLAY DE COLOMBIA S.A.S,INVIMA M-14301,04/07/2000,18/04/2010,Vencido,19906389,3,30.0,FRASCO DE PEAD CON TAPA PUSH DOWN DE PP. POR 30 TABLETAS.,Inactivo,11/10/2006,18/04/2010,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,A,VITAMINA E,IU,500000.0,TABLETA,TABLETA CUBIERTA CON PELICULA,LABORATORIOS FINLAY DE COLOMBIA S.A.S,FABRICANTE,FABRICAR Y VENDER,
19906389,VITACEREBRINA TABLETAS,LABORATORIOS FINLAY DE COLOMBIA S.A.S,INVIMA M-14301,04/07/2000,18/04/2010,Vencido,19906389,5,100.0,FRASCO DE PEAD CON TAPA PUSH DOWN DE PP. POR 100 TABLETAS.,Inactivo,11/10/2006,18/04/2010,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,A,ESTEARATO DE MAGNESIO,mg,300000.0,TABLETA,TABLETA CUBIERTA CON PELICULA,LABORATORIOSBIOHEALTH S.A.S,FABRICANTE,FABRICAR Y VENDER,
19906389,VITACEREBRINA TABLETAS,LABORATORIOS FINLAY DE COLOMBIA S.A.S,INVIMA M-14301,04/07/2000,18/04/2010,Vencido,19906389,5,100.0,FRASCO DE PEAD CON TAPA PUSH DOWN DE PP. POR 100 TABLETAS.,Inactivo,11/10/2006,18/04/2010,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,A,VITAMINA B2,mg,100000.0,TABLETA,TABLETA CUBIERTA CON PELICULA,A-Z PHARMA S.A,FABRICANTE,FABRICAR Y VENDER,
1981855,CIPROFLOXACINO 250 MG TABLETAS,MEMPHIS PRODUCTS S.A.,INVIMA 2002 M-013123 -R1,01/01/1999,02/08/2012,Vencido,1981855,4,30.0,CAJA POR 30 TABLETAS EN BLISTER PVC/ALUMINIO.,Inactivo,11/10/2006,02/08/2012,No,U,J01MA02,CIPROFLOXACINA,ORAL,A,CIPROFLOXACINO CLORHIDRATO MONOHIDRATO EQUIVALENTE A CIPROFLOXACINO,mg,25000000.0,TABLETA,TABLETA,LABORATORIOS CALIFORNIA S.A.,FABRICANTE,FABRICAR Y VENDER,
54492,VITACEREBRINA TABLETAS,LABORATORIOS NICOLE S.A.,INVIMA 2002M-0001507,19/10/1995,22/04/2007,Vencido,54492,1,20.0,ESTUCHE POR 2 BLISTER DE 10 TABLETAS CADA UNO EN FOIL ALUMINIO Y PVC.,Inactivo,11/10/2006,22/04/2007,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,A,CIANOCOBALAMINA,æg,1300000.0,TABLETA,TABLETA,LABORATORIOS QUIFAVET LIMITADA,FABRICANTE,FABRICAR Y VENDER,
227966,CLINIMIX E 5/25 AMINOACIDOS CON ELECTROLITOS AL 5% Y DEXTROSA AL 25% CON CALCIO,BAXTER HEALTHCARE CORPORATION OF PUERTO RICO,INVIMA M-011815,01/01/1999,22/11/2008,Vencido,227966,1,1000.0,BOLSA DE EVA Y POLIPROPILENO CON BOLSA EXTERNA DE ALUMINIO POR 1000ML,Inactivo,11/10/2006,22/11/2008,No,U,B05BA01,AMINOACIDOS,PARENTERAL,A,CLORURO DE MAGNESIO HEXAHIDRATADO USP,mg,10200000.0,100 ML,SOLUCION INYECTABLE,LABORATORIOS BAXTER S.A.,IMPORTADOR,IMPORTAR Y VENDER,
227966,CLINIMIX E 5/25 AMINOACIDOS CON ELECTROLITOS AL 5% Y DEXTROSA AL 25% CON CALCIO,BAXTER HEALTHCARE CORPORATION OF PUERTO RICO,INVIMA M-011815,01/01/1999,22/11/2008,Vencido,227966,2,2000.0,BOLSA EN EVA Y POLIPROPILENO CON BOLSA EXTERNA DE ALUMINIO X 2000 ML EMPACADAS EN CAJA DE CARTON CORRUGADO.,Inactivo,11/10/2006,22/11/2008,No,U,B05BA01,AMINOACIDOS,PARENTERAL,A,TRIPTOFANO,mg,18000000.0,100 ML,SOLUCION INYECTABLE,LABORATORIOS BAXTER S.A.,IMPORTADOR,IMPORTAR Y VENDER,
50813,CETIRIL,GRUNENTHAL COLOMBIANA S.A.,INVIMA M-005431,16/08/1996,09/12/2006,Vencido,50813,1,500.0,PARA USO HOSPITALARIO: CAJA X 500 TABLETAS,Inactivo,11/10/2006,09/12/2006,No,U,N03AF01,CARBAMAZEPINA,ORAL,A,CARBAMAZEPINA,mg,20000000.0,TABLETA,TABLETA,TECNANDINA S.A. TENSA,FABRICANTE,IMPORTAR Y VENDER,
19904743,ZOLEPTILO 25MG TABLETAS RECUBIERTAS,KNOLLA.G.,INVIMA M-015105,01/01/1999,22/01/2011,Vencido,19904743,10,10.0,FRASCO DE POLIPROPILENO DE ALTA DENSIDAD TAPA DE POLIPROPILENO POR 10 TABLETAS,Inactivo,11/10/2006,22/01/2011,No,U,N05AX11,ZOTEPINA,ORAL,A,ZOTEPINA,mg,2500000.0,TABLETA,TABLETA CUBIERTA CON PELICULA,KNOLL COLOMBIANA S. A. LABORATORIO FARMACEUTICO,IMPORTADOR,IMPORTAR Y VENDER,
214856,TRIACEL.,SANOFI PASTEUR LIMITED,INVIMA M- 011687,10/08/1998,11/03/2008,Vencido,214856,4,5.0,CAJA POR 1 VIAL DE 0.5 ML (DOSIS ÚNICA).,Inactivo,11/10/2006,11/03/2008,No,U,J07CA02,DIFTERIA-PERTUSIS-POLIOMIELITIS-TETANOS,PARENTERAL,S,PERTACTINA (69KDA),æg,300000.0,0.5 ML.,SUSPENSION INYECTABLE,SANOFI PASTEUR LIMITED,FABRICANTE,IMPORTAR Y VENDER,
19908077,LAVIT E.,LABORATORIOS NATURMEDIK S.A.S.,INVIMA 2010 M-14438-R1,26/05/2000,16/09/2015,Vencido,19908077,2,30.0,CAJA X 30 CAPSULAS ENSIN DATOFRASCO DE POLIETILENO DE ALTA DENSIDAD CON TAPA PUSH - DOWN ENSIN DATOPOLIPROPILENO. LINNER ALU- CELULOSA,Inactivo,11/10/2006,16/09/2015,No,U,A11HA03,TOCOFEROL (VIT E),ORAL,A,DLALFATOCOFEROLACETATO (VITAMINAE ),U.I.,40000000.0,CÁPSULA BLANDA,CAPSULA BLANDA,NBTY INC. NEW YORK - USA,FABRICANTE,IMPORTAR. ENVASAR Y VENDER,
19906202,CEFACLOR BIOCHEMIE500 MGCAPSULAS,SANDOZ GMBH,INVIMA M-14104,01/01/1999,21/01/2010,Vencido,19906202,3,30.0,CAJA POR 30 CAPSULAS EN BLISTER PVC/PVDC/ALUMINIO,Inactivo,11/10/2006,21/01/2010,No,U,J01DC04,CEFACLOR,ORAL,A,CEFACLOR MONOHIDRATO EQUIVALENTE A CEFACLOR,mg,50000000.0,CÁPSULA,CAPSULA DURA,PENCEF PHARMA GMBH,FABRICANTE,IMPORTAR Y VENDER,
51112,METRONIDAZOL TABLETAS 500 MG,LABORATORIOS FARMACEUTICOS OPHALACS.A.,INVIMA M-012560,01/01/1999,23/03/2009,Vencido,51112,2,30.0,CAJA X 30 TABLETAS EN BLISTER PVC CAMPARI/ALUMINIO,Inactivo,11/10/2006,23/03/2009,No,U,P01AB01,METRONIDAZOL,ORAL,A,METRONIDAZOL,mg,50000000.0,TABLETA,TABLETA,LABORATORIOS BEST S.A.,FABRICANTE,FABRICAR Y VENDER,
19906008,INFIBU - M.,LABORATORIO DEL CARIBE LTDA,INVIMA M-14064,01/01/1999,19/01/2010,Vencido,19906008,3,30.0,CAJA POR 3 BLISTER POR 10 TABLETASSIN DATOCADA UNO,Inactivo,11/10/2006,19/01/2010,No,U,M01AE51,IBUPROFEN COMBINACIONES,ORAL,A,METOCARBAMOL,mg,50000000.0,TABLETA,TABLETA,LABORATORIOS INCOBRA S.A.,FABRICANTE,FABRICAR Y VENDER,
217602,NORFLOXACINA 400 MG TABLETAS,HUMBERTO RUEDA RUIZ.,INVIMA M-012600,19/03/1999,04/01/2009,Vencido,217602,2,10.0,CAJA CARTON PROPAL X 1 BLISTER 10 PVC/ALUMINIO,Inactivo,11/10/2006,04/01/2009,No,U,J01MA06,NORFLOXACINA,ORAL,A,CADA TABLETA CONTIENE: NORFLOXACINA 400 MG,mg,40000000.0,TABLETA,TABLETA,LABORATORIOS CALIFORNIA S.A.,FABRICANTE,FABRICAR Y VENDER,
214883,OPOLIO,SANOFI PASTEUR LIMITED,INVIMA M-010667,05/04/1998,05/10/2008,Vencido,214883,3,1.0,CAJA POR 1 TUBITO POR 0.5 ML.,Inactivo,11/10/2006,05/10/2008,No,U,J07BF02,POLIOMIELITIS ORAL TRIVALENTE VIVO ATENUADO,ORAL,S,ESTREPTOMICINA NO MAS DE 1.6 NANOGRAMOS (POR CALCULO),ng,160000.0,POR DOSIS (0.5 ML),SUSPENSION ORAL,SANOFI PASTEUR LIMITED,FABRICANTE,IMPORTAR Y VENDER,
39117,PRAZED® CÁPSULA DURA,NOVAMED S.A.S.,INVIMA 2001 M -012409 R1,01/01/1999,13/08/2011,Vencido,39117,51,4.0,MUESTRA MEDICA: CAJA POR 4 CAPSULAS EN BLISTER STARFLEX (PVC/TE/PVDC)-ALUMINIO,Inactivo,26/05/2011,13/08/2011,Si,U,A02BC01,OMEPRAZOL,ORAL,A,OMEPRAZOL,mg,2000000.0,CÁPSULA,CAPSULA DURA,C.I. FARMACAPSULAS S.A.S,FABRICANTE,FABRICAR Y VENDER,
38884,LOVASTEROL,LABORATORIOS FARMACOL S.A.,INVIMA 2001M-012310-R1,21/02/1991,05/04/2011,Vencido,38884,1,20.0,CAJA POR 20 TABLETAS EN BLISTER PVC/ALUMINIO PROLAM 700.,Inactivo,11/10/2006,05/04/2011,No,U,C10AA02,LOVASTATINA,ORAL,A,LOVASTATINA,mg,2000000.0,TABLETA,TABLETA,LABORATORIOS FARMACOL S.A.,FABRICANTE,FABRICAR Y VENDER,
207823,NAVOBAN AMPOLLAS 2 MG/2 ML,NOVARTISSINGAPORE PHARMACEUTICAL MANUFACTURINGPTE.LTD.,INVIMA M-006192,01/01/1999,02/09/2007,Vencido,207823,2,2.0,CAJA POR 1 AMPOLLA VIDRIO INCOLORO TIPO I DE 2 ML.,Inactivo,11/10/2006,02/09/2007,No,ml,A04AA03,TROPISETRON,PARENTERAL,A,CLORHIDRATO DE TROPISETRON,g,0.00112,1 ML. DE SOLUCION,SOLUCION INYECTABLE,NOVARTIS PHARMA STEINAG. PHARMACEUTICAL OPERATIONS SCHEWEIZ SOLIDS,FABRICANTE,IMPORTAR Y VENDER,
19915939,TERAGRIP GRANULADO PEDIATRICO.,FARMA DE COLOMBIA S.A.S.,INVIMA 2001M-0000298,20/06/2001,17/07/2011,Vencido,19915939,6,20.0,SOBRE ALUMINIO / ALUMINIO EN CAJA DE CARTON POR 20 SOBRES,Inactivo,11/10/2006,17/07/2011,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,D,ACETAMINOFEN,g,0.25,100 G,GRANULOS,LABORATORIOS FARMA S.A.,FABRICANTE,IMPORTAR Y VENDER,
34651,HEMAGENE JARABE MULTIVITAMINICO.,TRIDEX FARMACEUTICA S.A.,INVIMA M-002780-R2,28/04/2000,06/09/2010,Vencido,34651,1,240.0,FRASCO ÁMBAR X 240 ML. VIDRIO.,Inactivo,11/10/2006,06/09/2010,No,ml,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,B,RIBOFLAVINA FOSFATO USP,mg,4296000.0,100 ML.,JARABE,SERVICIOS TECNICOS FARMACEUTICOSLTDA. S.T.F. LTDA.,FABRICANTE,FABRICAR Y VENDER,
20440,DIAZEPAM ECAR,LABORATORIOS ECAR S.A.,INVIMA 2004 M-005975-R2,08/05/1994,15/12/2014,Vencido,20440,3,100.0,CAJA POR 100 TABLETAS EN BLISTER POR 10 TABLETAS C/U.,Inactivo,11/10/2006,15/12/2014,No,U,N05BA01,DIAZEPAM,ORAL,A,DIAZEPAM,mg,500000.0,TABLETA,TABLETA,LABORATORIOS ECAR S.A.,FABRICANTE,FABRICAR Y VENDER,
211860,FREAMINE III AL 10%,B. BRAUN MEDICAL S.A.,INVIMA M-011559,25/08/1998,30/08/2008,Vencido,211860,1,1000.0,FRASCO POR 1000 ML,Inactivo,11/10/2006,30/08/2008,No,ml,B05BA01,AMINOACIDOS,PARENTERAL,A,TREONINA,g,0.4,100 ML,SOLUCION INYECTABLE,MC GAW EXPORT INC,FABRICANTE,IMPORTAR Y VENDER,
19912348,CRIXIVAN 100MG,MERCK SHARP & DOHME CORP,INVIMA 2001M-0000221,01/01/1999,13/06/2011,Vencido,19912348,2,90.0,FRASCOS HDPE POR 90 CAPSULAS EN CAJA,Inactivo,11/10/2006,13/06/2011,No,U,J05AE02,INDINAVIR,ORAL,A,SULFATO DE INDINAVIR EQUIVALENTE A INDINAVIR,mg,10000000.0,CAPSULA,CAPSULA DURA,FROSST LABORATORIES INC,IMPORTADOR,IMPORTAR Y VENDER,
19902043,LOWLIPEN TABLETAS 20 MG,BIOGEN LABORATORIOS DE COLOMBIA S.A.S.,INVIMA M-013439,01/01/1999,08/06/2009,Vencido,19902043,1,10.0,CAJA POR 10 TABLETAS EN BLISTER DE PVC/ALUMINIO POR 10 CµPSULAS.,Inactivo,11/10/2006,08/06/2009,No,U,C10AA05,ATORVASTATIN,ORAL,A,ATORVASTATINA CALCICA TRIHIDRATO EQUIVALENTE A ATORVASTATINA,mg,2000000.0,TABLETA,TABLETA,BLISTECO S.A.,FABRICANTE,FABRICAR Y VENDER,
39021,TRIMEBUTINA TABLETAS,BIOGEN LABORATORIOS DE COLOMBIA S.A.S.,INVIMA 2001M-012305 R1,18/02/1991,27/08/2011,Vencido,39021,1,16.0,CAJA PLEGADIZA EN CARTULINA PVP POR 16 TABLETAS EN BLISTER ALUMINIO IMPRESO-PVC ATOXICO AMBAR DE ALTA DENISDAD POR 8 TABLETAS.,Inactivo,11/10/2006,27/08/2011,No,U,A03AA05,TRIMEBUTINA,ORAL,A,TRIMEBUTINA MALEATO,mg,20000000.0,TABLETA,TABLETA,BIOGEN LABORATORIOS DE COLOMBIA S.A.S.,FABRICANTE,FABRICAR Y VENDER,
21687,NECER,LABORATORIOS HIGEA DE COLOMBIA LTDA.,INVIMA M-005410,01/01/1999,09/02/2006,Vencido,21687,1,120.0,FRASCO DE VIDRIO AMBAR X 120 ML.,Inactivo,11/10/2006,09/02/2006,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,B,VITAMINA C,mg,60000000.0,100 ML,SOLUCION ORAL,LABORATORIOS HIGEA DE COLOMBIA LTDA.,FABRICANTE,FABRICAR Y VENDER,
27191,HUMULIN®R SOLUCION INYECTABLE,ELI LILLY AND COMPANY,INVIMA 2016M-008942-R3,22/04/1996,12/05/2021,Vencido,27191,2,1.0,MUESTRA MÉDICA: CAJA POR UN (1) FRASCO VIALSIN DATODE VIDRIO TIPO I INCOLORO POR DIEZ (10)ML (100U POR ML).,Activo,15/11/2016,,Si,U,A10AB01,INSULINA (HUMANA),SUBCUTANEA,S,INSULINA HUMANA (ORIGEN ADN RECOMBINANTE),IU,10000000.0,1 MILILITRO DE (SOLUCIÓN INYECTABLE),SOLUCION INYECTABLE,ELI LILLY AND COMPANY,FABRICANTE,IMPORTAR Y VENDER,
19912242,PEPTIRAN TABLETAS,GRUPO DE INVESTIGACION FARMACÉUTICA COLOMBIANO S.A GRUINFACOL S.A.,INVIMA 2001M-0000204,01/01/1999,08/02/2011,Vencido,19912242,2,20.0,CAJA PLEGADIZA DE CARTULINA X 20 TABLETAS EN FOIL DE ALUMINIO X 10 TABLETAS.,Inactivo,11/10/2006,08/02/2011,No,U,A02BA02,RANITIDINA,ORAL,A,RANITIDINA CLORHIDRATO EQUIVALENTE A RANITIDINA,mg,30000000.0,TABLETARECUBIERTA,TABLETA CUBIERTA (GRAGEA),COLOMPACK S.A.,FABRICANTE,FABRICAR Y VENDER,
59133,ADOREM PARA NIÑOS TABLETAS,LABORATORIOS SIEGFRIED S.A.S.,INVIMA 2004M-015062-R1,01/01/1999,31/08/2014,Vencido,59133,5,10.0,MUESTRA MÉDICA: CAJA X 10 TABLETAS,Inactivo,11/10/2006,31/08/2014,Si,U,N02BE01,PARACETAMOL,ORAL,A,ACETAMINOFEN MICROENCAPSULADO,mg,10000000.0,TABLETA,TABLETA MASTICABLE,LABORATORIOS SIEGFRIED S.A.S.,FABRICANTE,FABRICAR Y VENDER,
39515,RANITIDINA 150 MG,NOVAMED S.A.S.,INVIMA 2001 M-012542-R1,01/01/1999,10/05/2011,Vencido,39515,3,20.0,BLISTER DE ALUMINIPO/PVC(ÁMBAR).CAJA POR 20 TABLETAS,Inactivo,11/10/2006,10/05/2011,No,U,A02BA02,RANITIDINA,ORAL,A,RANITIDINA CLORHIDRATO EQUIVALENTE A RANITIDINA,mg,15000000.0,TABLETA CUBIERTA,TABLETA CUBIERTA CON PELICULA,C.I. FARMACAPSULAS S.A.S,FABRICANTE,FABRICAR Y VENDER,
50176,VITAMINERAL JARABE,BIOQUIMICO PHARMAS.A.,INVIMA M-010077,01/01/1999,23/12/2009,Vencido,50176,1,240.0,FRASCO POR 240 ML,Inactivo,11/10/2006,23/12/2009,No,ml,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,B,VITAMINA E,IU,13350000.0,100ML DE JARABE,JARABE,LABORATORIOS BEST S.A.,FABRICANTE,FABRICAR Y VENDER,
19909643,ROBAXIFEN TABLETAS,PFIZER S.A.S.,INVIMA 2010 M-015074-R1,01/12/2001,12/01/2015,Vencido,19909643,6,24.0,MUESTRA MEDICA:SIN DATOCAJA DE CARTON POR 24 TABLETAS EN BLISTER DE PVC/PE/PVDC-ALUMINIO POR 12 TABLETAS,Inactivo,11/04/2010,12/01/2015,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,METOCARBAMOL,mg,50000000.0,TABLETA,TABLETA,WYETH S. DE R.L DE C.V.,FABRICANTE,IMPORTAR Y VENDER,
19909643,ROBAXIFEN TABLETAS,PFIZER S.A.S.,INVIMA 2010 M-015074-R1,01/12/2001,12/01/2015,Vencido,19909643,7,36.0,MUESTRA MEDICA: CAJA DE CARTON POR 36 TABLETAS EN BLISTER DE PVC/PE/PVDC-ALUMINIO POR 12 TABLETAS,Inactivo,11/04/2010,12/01/2015,No,U,M03BA53,METOCARBAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,ACETAMINOFEN,mg,35000000.0,TABLETA,TABLETA,PFIZER S.A.S.,IMPORTADOR,IMPORTAR Y VENDER,
227963,CLINIMIX E 4.25/5 AMINOACIDOS CON ELECTROLITOS AL 4.25% Y DEXTROSA AL5% CON CALCIO,BAXTER HEALTHCARE CORPORATION OF PUERTO RICO,INVIMA M-011786,01/01/1999,11/08/2008,Vencido,227963,2,2000.0,BOLSA DE EVA Y POLIPROPILENO CON BOLSA EXTERNA DE ALUMINIO POR 2000 ML,Inactivo,23/05/2007,11/08/2008,No,ml,B05BA01,AMINOACIDOS,PARENTERAL,A,ALANINA,g,176000.0,100 ML,SOLUCION INYECTABLE,LABORATORIOS BAXTER S.A.,IMPORTADOR,IMPORTAR Y VENDER,
217065,TRAMADOL 100 MG/ 2 ML.. INYECTABLE,SANOFI-AVENTIS DE COLOMBIA S.A.,INVIMA M-011451,08/05/1998,25/08/2008,Vencido,217065,4,6.0,CAJA POR 3SIN DATOAMPOLLAS DE VIDRIOTIPO I TRANSPARENTE. PIROGRABADO. POR 2ML CADA AMPOLLA,Inactivo,11/10/2006,25/08/2008,No,ml,N02AX02,TRAMADOL,INTRAVENOSA,A,TRAMADOL CLORHIDRATO,mg,10000000.0,AMPOLLA X 2 ML,SOLUCION INYECTABLE,VIDRIO TÉCNICO DE COLOMBIA S.A. VITECO S.A.,FABRICANTE,FABRICAR Y VENDER,
21612,METRONIDAZOL 125 MG /5 ML.,TECNOFAR TQ S.A.S,INVIMA 2016 M-008310-R3,01/01/1999,10/01/2021,Vencido,21612,3,240.0,FRASCO DE VIDRIO AMBAR POR 240ML,Inactivo,29/01/2007,26/03/2013,No,ml,P01AB01,METRONIDAZOL,ORAL,B,METRONIDAZOL BENZOILO EQUIVALENTE A METRONIDAZOL BASE,g,250000.0,100 ML,SUSPENSION ORAL,TECNOFAR TQ S.A.S,FABRICANTE,FABRICAR Y VENDER,
37538,MULTIVIT M® CAPSULAS,PROCAPS S.A.,INVIMA 2018M-012166-R3,01/01/1999,19/04/2023,Vencido,37538,10,60.0,FRASCO BLANCO DE POLIETILENO DE ALTA DENSIDAD CON TAPA BLANCA DE POLIPROPILENO 38 MM CON LINER DE ALUMINIO POR 60 CÁPSULAS BLANDAS.,Inactivo,27/07/2012,19/04/2023,No,U,A11AA03,MULTIVITAMINAS Y OTROS MINERALES INCL COMBINACIONES,ORAL,A,TIAMINA MONONITRATO (VITAMINA B1),mg,500000.0,CÁPSULA BLANDA DE GELATINA,CAPSULA BLANDA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER,
